"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
525192,7,"train",21,2,"11",6
880375,8,"train",4,1,"14",10
519514,49,"train",9,4,"12",2
39325,55,"train",8,2,"18",30
13318,56,"train",13,1,"09",6
34647,66,"train",7,3,"19",23
21708,79,"train",8,0,"06",30
859654,82,"train",20,1,"10",13
613340,86,"train",18,6,"12",6
926418,103,"train",18,2,"14",20
515014,108,"train",8,6,"15",6
461193,119,"train",4,0,"14",30
961032,120,"train",4,2,"09",30
959285,349,"train",8,1,"08",5
607923,363,"train",13,1,"13",10
811612,375,"train",8,1,"13",30
960774,376,"train",9,6,"12",30
14172,382,"train",30,4,"17",10
445900,396,"train",19,1,"06",30
592291,404,"train",7,2,"14",24
437145,421,"train",4,1,"12",30
539212,431,"train",10,5,"10",7
488785,432,"train",53,0,"19",7
484245,434,"train",5,0,"14",8
683205,459,"train",24,6,"12",8
362051,465,"train",41,5,"07",7
417305,471,"train",7,5,"15",10
461914,476,"train",17,4,"10",7
29983,489,"train",8,1,"00",30
863691,497,"train",10,3,"15",30
188500,499,"train",7,4,"16",6
54762,504,"train",5,4,"12",30
797018,511,"train",6,6,"18",30
229361,528,"train",35,0,"11",6
17906,533,"train",5,2,"14",30
451330,558,"train",28,5,"12",1
241538,567,"train",22,0,"20",11
29486,586,"train",5,5,"18",26
530341,592,"train",5,4,"09",30
205105,604,"train",28,0,"12",29
3733,605,"train",6,1,"17",30
339577,607,"train",11,1,"17",7
192822,617,"train",11,1,"20",7
821898,625,"train",4,2,"14",30
415087,632,"train",6,3,"20",30
812040,667,"train",76,0,"13",6
143284,685,"train",5,4,"09",16
959637,705,"train",7,5,"20",8
219467,712,"train",5,6,"17",30
398828,713,"train",16,2,"19",13
67479,716,"train",5,3,"21",8
921692,718,"train",4,1,"07",30
251996,725,"train",10,5,"11",20
275130,737,"train",16,0,"12",14
63770,751,"train",7,2,"06",30
565931,753,"train",4,6,"13",30
14287,757,"train",6,0,"16",30
888267,782,"train",5,0,"11",30
980285,783,"train",4,0,"16",30
303762,789,"train",12,1,"08",21
975061,814,"train",4,3,"15",12
917873,821,"train",4,0,"13",7
265281,855,"train",16,2,"12",11
692135,865,"train",4,5,"11",30
509989,888,"train",16,3,"13",3
631808,898,"train",53,1,"08",8
968909,906,"train",5,0,"11",14
309741,915,"train",10,4,"15",19
15213,923,"train",13,6,"16",30
914910,929,"train",4,5,"17",7
809820,951,"train",4,2,"18",30
967656,956,"train",12,0,"15",7
244128,967,"train",5,6,"10",30
547273,983,"train",7,4,"12",6
96292,984,"train",51,3,"20",2
411854,987,"train",8,1,"01",30
122224,990,"train",10,0,"18",8
903956,1000,"train",8,0,"13",21
221711,1024,"train",100,2,"10",1
406446,1038,"train",15,0,"22",15
11052,1039,"train",7,0,"19",30
443227,1052,"train",21,1,"18",8
300459,1067,"train",19,2,"15",7
276012,1071,"train",9,4,"21",14
604625,1086,"train",6,1,"10",3
526858,1090,"train",5,1,"16",2
51155,1091,"train",6,3,"10",30
327915,1095,"train",32,3,"18",3
437041,1107,"train",33,5,"16",11
356584,1112,"train",12,0,"12",30
304668,1144,"train",4,0,"22",30
153579,1151,"train",6,0,"14",30
401928,1155,"train",19,0,"10",6
796337,1158,"train",10,0,"15",10
169422,1164,"train",79,3,"23",2
536324,1165,"train",24,5,"12",7
998784,1181,"train",11,1,"13",4
723753,1187,"train",4,0,"12",6
74399,1205,"train",7,4,"15",30
676514,1206,"train",19,4,"12",2
589930,1224,"train",13,4,"11",30
692507,1228,"train",4,1,"19",29
201235,1244,"train",10,5,"21",7
658472,1252,"train",14,6,"10",30
935344,1255,"train",7,4,"12",27
46340,1271,"train",49,0,"15",4
245330,1278,"train",5,2,"09",22
510280,1295,"train",6,5,"16",19
336364,1299,"train",9,6,"11",13
566254,1301,"train",13,0,"15",16
263184,1303,"train",7,5,"09",30
332326,1304,"train",5,6,"19",8
807060,1324,"train",5,6,"11",14
463215,1332,"train",12,0,"13",7
917153,1336,"train",7,4,"18",30
273406,1352,"train",30,3,"21",30
215214,1358,"train",7,1,"14",19
179410,1371,"train",6,0,"13",30
193067,1383,"train",4,5,"13",11
832177,1391,"train",11,5,"12",18
633569,1399,"train",6,3,"09",6
302601,1406,"train",17,1,"11",30
559488,1435,"train",4,0,"08",30
633520,1461,"train",12,1,"10",20
605667,1462,"train",5,6,"20",20
108525,1477,"train",20,6,"16",10
326537,1488,"train",4,2,"18",30
396595,1499,"train",5,0,"10",30
460882,1521,"train",12,0,"15",7
220180,1527,"train",59,4,"11",4
497663,1559,"train",16,0,"16",6
317537,1562,"train",9,0,"11",12
512447,1575,"train",33,1,"14",16
348734,1579,"train",28,5,"14",28
268712,1583,"train",7,2,"17",10
774145,1586,"train",7,4,"03",26
886214,1587,"train",9,1,"13",30
248747,1601,"train",6,0,"19",13
289472,1606,"train",22,5,"09",15
431854,1613,"train",21,5,"11",25
552695,1622,"train",30,1,"16",30
500855,1656,"train",6,2,"15",21
425334,1657,"train",12,4,"09",4
76113,1662,"train",10,1,"11",21
822491,1668,"train",4,0,"09",2
416516,1700,"train",5,0,"18",30
57889,1719,"train",15,6,"11",30
972022,1729,"train",11,0,"15",30
910121,1732,"train",17,4,"21",30
44208,1744,"train",6,4,"20",23
30739,1755,"train",23,0,"12",10
605135,1762,"train",5,1,"08",30
449406,1766,"train",16,1,"11",16
583743,1767,"train",24,3,"15",12
112732,1812,"train",18,5,"17",5
791162,1813,"train",14,5,"13",19
533174,1825,"train",10,1,"11",30
961949,1827,"train",4,0,"21",30
628652,1849,"train",8,3,"16",22
178541,1859,"train",39,6,"18",6
374806,1872,"train",21,2,"10",11
332488,1890,"train",26,0,"12",8
893162,1897,"train",5,4,"11",28
112127,1904,"train",7,6,"17",2
352729,1946,"train",18,0,"17",5
569211,1947,"train",5,0,"14",30
103086,1956,"train",8,0,"14",22
329201,1962,"train",7,6,"20",28
622151,1981,"train",10,0,"07",30
344272,1995,"train",4,2,"19",30
723482,2014,"train",4,2,"09",1
750590,2035,"train",4,0,"23",30
612119,2037,"train",10,2,"16",30
901415,2057,"train",36,0,"20",6
129926,2063,"train",4,6,"18",27
28696,2068,"train",13,3,"22",8
997480,2069,"train",5,2,"14",8
512343,2109,"train",7,6,"19",10
335044,2110,"train",8,5,"09",30
300162,2113,"train",6,1,"08",24
134419,2116,"train",13,6,"12",7
164788,2122,"train",11,3,"08",8
872361,2124,"train",10,6,"21",2
374606,2125,"train",5,0,"23",13
776848,2137,"train",4,4,"17",14
378564,2161,"train",7,5,"12",30
214187,2166,"train",38,5,"16",3
179504,2170,"train",4,6,"12",21
469780,2190,"train",19,3,"23",7
430749,2192,"train",36,0,"13",10
865712,2199,"train",19,5,"20",16
819088,2204,"train",8,4,"10",30
359518,2206,"train",10,1,"16",30
901171,2210,"train",6,3,"18",5
767323,2221,"train",24,5,"19",16
303706,2237,"train",25,0,"13",30
950032,2244,"train",30,5,"13",3
562888,2249,"train",13,4,"08",13
795152,2256,"train",6,6,"16",30
89254,2257,"train",15,2,"15",25
322872,2261,"train",5,4,"17",12
452984,2269,"train",6,0,"10",29
713987,2285,"train",11,0,"12",14
374748,2306,"train",6,1,"17",11
995001,2310,"train",51,5,"14",30
280037,2315,"train",10,3,"09",19
223255,2319,"train",4,1,"12",20
340476,2330,"train",6,5,"17",26
591499,2341,"train",11,5,"20",20
952329,2345,"train",13,2,"09",16
504629,2355,"train",26,0,"12",30
689584,2383,"train",69,4,"15",6
539369,2386,"train",17,5,"12",12
772327,2397,"train",42,3,"11",2
456185,2405,"train",100,0,"07",1
451711,2406,"train",9,0,"13",2
402738,2444,"train",10,1,"12",30
1890,2454,"train",4,5,"06",30
817343,2455,"train",7,5,"15",1
797735,2470,"train",11,6,"13",6
412840,2471,"train",4,5,"20",10
428001,2487,"train",11,2,"13",19
718184,2492,"train",11,5,"12",6
336488,2498,"train",16,0,"20",12
